u_index,u,v_index,v,length
2005,83650446,2006,83650212,0.058605549
2008,83650350,2108,1107543217,0.049298963
2040,255250999,2041,2001545075,0.008741161
2087,1245400284,2088,26618757,0.035878294
2088,26618757,2089,26618754,0.05182865
2108,1107543217,2109,1393905990,0.007033748
2108,1107543217,2208,1107543256,0.040892335
2173,252712468,2174,252712935,0.048355811
2205,83650214,2305,4058522422,0.065199801
2280,255121653,2380,255121655,0.053718917
2305,4058522422,2306,317348279,0.046914446
2332,25418933,2333,356934373,0.053943914
2333,356934373,2334,356934585,0.033039102
2336,266318885,2436,2119692851,0.035327974
2346,255250283,2446,255250101,0.031601983
2376,261731992,2377,122571136,0.060981938
2407,83649810,2408,299811107,0.058624914
2407,83649810,2507,299808700,0.052684809
2419,83506907,2519,32630956,0.044945027
2435,256576580,2436,2119692851,0.023234807
2435,256576580,2535,256575742,0.047907198
2441,255250287,2442,255250786,0.047316405
2441,255250287,2541,255250098,0.026543031
2451,255250019,2452,246144918,0.029059189
2506,32649920,2507,299808700,0.067148313
2518,32630957,2519,32630956,0.014927567
2519,32630956,2520,32630955,0.039488574
2537,2959672897,2538,246142109,0.047739051
2541,255250098,2641,246141797,0.047326204
2592,270545256,2692,246160563,0.022364862
2692,246160563,2792,255276194,0.063689901
2734,256576319,2735,256576320,0.046401023
2737,2196247885,2738,256575744,0.04665405
2737,2196247885,2837,2283190928,0.035024799
2738,256575744,2739,327115023,0.057338975
2738,256575744,2838,256576313,0.042115543
2739,327115023,2839,327115013,0.042169662
2743,25418929,2744,246147728,0.039629045
2744,246147728,2745,3134209748,0.026596971
2744,246147728,2844,1107496231,0.024993055
2756,2001545081,2856,246146288,0.029700572
2762,246147950,2763,4586979657,0.033563069
2762,246147950,2862,1072642459,0.033792947
2777,252712466,2877,9411254631,0.037547004
2786,255278207,2886,253711275,0.042553404
2792,255276194,2793,255276195,0.04415239
2816,2315316891,2817,10610748331,0.036557813
2820,32630952,2920,1387899770,0.049554226
2837,2283190928,2838,256576313,0.040505252
2838,256576313,2839,327115013,0.05454471
2851,772772863,2852,3134209749,0.019494267
2852,3134209749,2853,3548468718,0.058028494
2855,261761724,2856,246146288,0.043653546
2856,246146288,2857,1107496227,0.013943922
2857,1107496227,2858,246147610,0.032773106
2857,1107496227,2957,1107496218,0.035560954
2886,253711275,2986,255275060,0.024753241
2919,32630961,2920,1387899770,0.026970026
2920,1387899770,2921,32630950,0.045609346
2921,32630950,3021,356931990,0.038804686
2923,32630949,3023,5728348344,0.026187427
2942,1416998349,2943,1107496233,0.037564196
2943,1107496233,3043,1107496216,0.041520617
2994,253708867,3094,255278213,0.027086859
3005,247392543,3105,757040837,0.016253079
3010,427611328,3110,2298342767,0.01085294
3012,1233461517,3013,427615258,0.04275064
3021,356931990,3121,32630948,0.048722512
3025,1434873299,3125,257359634,0.008279305
3043,1107496216,3044,1107496252,0.028539583
3044,1107496252,3045,252609162,0.065721543
3055,261761721,3056,261762870,0.040120057
3061,261764695,3161,252714282,0.046206472
3085,255277950,3185,253711694,0.038646664
3087,253711277,3187,255277951,0.038781112
3105,757040837,3205,247392542,0.052595675
3107,25388389,3108,616806758,0.044683744
3110,2298342767,3210,1394267353,0.047630567
3125,257359634,3126,257359637,0.039387021
3125,257359634,3225,257359633,0.055052102
3129,256575380,3130,1107500023,0.037568786
3129,256575380,3229,256575372,0.021800929
3130,1107500023,3230,256575371,0.050888744
3134,1107500054,3135,256577526,0.037530995
3137,502528140,3138,502528127,0.04551276
3138,502528127,3238,254528639,0.029590078
3141,1107496215,3142,1107496235,0.060497691
3184,255120632,3185,253711694,0.041934324
3196,2192443980,3197,2192443976,0.046143151
3196,2192443980,3296,253708866,0.025446448
3202,25388197,3203,25388404,0.060814697
3203,25388404,3204,25388387,0.03788531
3204,25388387,3205,247392542,0.017522563
3204,25388387,3304,758357594,0.039157438
3210,1394267353,3310,309295976,0.05303861
3229,256575372,3230,256575371,0.016113864
3229,256575372,3329,595659430,0.06943907
3246,252607425,3346,252607430,0.032898125
3255,261762869,3256,2537299971,0.043234462
3255,261762869,3355,246147609,0.05259044
3256,2537299971,3356,258277664,0.030779421
3258,252714283,3259,261764697,0.030258623
3279,270522053,3280,253711685,0.050949032
3280,253711685,3380,257483794,0.036987258
3299,267586178,3300,758154256,3.946437364
3300,758154256,3301,758154234,0.025834092
3300,758154256,3400,25388195,0.028693325
3304,758357594,3404,1165400891,0.040349232
3326,448239624,3426,256575406,0.055653615
3344,252608214,3345,1288873197,0.040280088
3345,1288873197,3346,252607430,0.049962128
3345,1288873197,3445,1107496222,0.028351793
3346,252607430,3446,122571273,0.058227421
3349,252608905,3449,25418922,0.059196735
3354,258277649,3355,246147609,0.052919285
3355,246147609,3356,258277664,0.02326271
3356,258277664,3357,2537299996,0.040644455
3356,258277664,3456,246149114,0.04158896
3380,257483794,3381,253711691,0.048765542
3384,253711659,3385,253711657,0.067737798
3384,253711659,3484,2127267657,0.077266965
3385,253711657,3485,257362156,0.01133795
3430,595659429,3530,564995645,0.053542745
3445,1107496222,3446,122571273,0.044454857
3446,122571273,3447,2141800768,0.033891045
3447,2141800768,3448,2141800773,0.039499057
3447,2141800768,3547,1288873196,0.026001886
3448,2141800773,3449,25418922,0.021471527
3459,270323571,3460,122571141,0.010811879
3478,26619713,3479,257483819,0.024945384
3479,257483819,3579,257483791,0.023044642
3482,248532565,3483,257471848,0.009806951
3482,248532565,3582,254331093,0.025579651
3483,257471848,3484,2127267657,0.07202251
3484,2127267657,3485,257362156,0.026791634
3484,2127267657,3584,253711276,0.042311112
3485,257362156,3486,253712455,0.064921581
3486,253712455,3586,2127267663,0.037868715
3515,279143970,3516,279369327,0.043872936
3536,356931465,3537,1107500029,0.052587971
3603,301348589,3604,309294440,0.029053853
