u,v,key,osmid,oneway,lanes,highway,length,ref,maxspeed,bridge,name,junction,geometry
5060969356,9532533135,0,9973983,False,,tertiary,10.153,,,,Bernard Street,,"LINESTRING (-97.14148 33.21038, -97.1414817 33.2102887)"
5060969356,2973950032,0,9973983,False,,tertiary,7.474,,,,Bernard Street,,"LINESTRING (-97.14148 33.21038, -97.1414784 33.2104472)"
5060969356,9532533136,0,256877979,False,,unclassified,12.989,,,,West Prairie Street,,"LINESTRING (-97.14148 33.21038, -97.1416196 33.210382)"
5060996619,8310883017,0,293940749,True,2,secondary,10.856,,,,West Oak Street,,"LINESTRING (-97.1455992 33.2156787, -97.1457159 33.2156787)"
5072227611,2665604737,0,9982426,False,,tertiary,4.485,,,,West Sycamore Street,,"LINESTRING (-97.1357195 33.2125368, -97.1357677 33.2125377)"
5072227611,8593818782,0,9982426,False,,tertiary,7.658,,,,West Sycamore Street,,"LINESTRING (-97.1357195 33.2125368, -97.1356372 33.2125354)"
5074758479,9513229510,0,365519032,True,1,tertiary,109.928,,,,Avenue C,,"LINESTRING (-97.1507868 33.2081849, -97.1507885 33.2071963)"
5074758501,81800573,0,9980856,True,,tertiary,9.352,,,,Avenue C,,"LINESTRING (-97.1506646 33.2081849, -97.150665 33.208269)"
5074760626,3695224166,0,150153956,True,,unclassified,1.972,,,,Maple Street,,"LINESTRING (-97.1500002 33.2082636, -97.1500214 33.2082638)"
5074760632,81800573,0,739641951,True,,unclassified,5.005,,,,Maple Street,,"LINESTRING (-97.1506112 33.2082686, -97.150665 33.208269)"
5074760679,5059238837,0,9980856,True,,tertiary,40.993,,,,Avenue C,,"LINESTRING (-97.1506784 33.2089168, -97.1506861 33.2092854)"
5075741083,81976290,0,966597112,False,,unclassified,6.942,,,,Avenue A,,"LINESTRING (-97.1462742 33.2085077, -97.1462766 33.2085701)"
5075741083,81976288,0,966597112,False,,unclassified,4.52,,,,Avenue A,,"LINESTRING (-97.1462742 33.2085077, -97.1462719 33.2084671)"
5075741096,81800567,0,739641952,True,,unclassified,13.984,,,,Maple Street,,"LINESTRING (-97.1473661 33.2082415, -97.1475164 33.2082429)"
5075741100,5075741892,0,9975998,False,,unclassified,6.072,,,,Central Avenue,,"LINESTRING (-97.1452617 33.2091457, -97.145263 33.2090911)"
5075741100,9532490888,0,9975998,False,,unclassified,9.029,,,,Central Avenue,,"LINESTRING (-97.1452617 33.2091457, -97.1452609 33.2092269)"
5075741101,5075741872,0,9975998,False,,unclassified,4.46,,,,Central Avenue,,"LINESTRING (-97.1452721 33.2084968, -97.1452732 33.2084567)"
5075741101,2996260115,0,9975998,False,,unclassified,39.376,,,,Central Avenue,,"LINESTRING (-97.1452721 33.2084968, -97.1452685 33.2088509)"
5075741825,2972415301,0,437822208,True,,unclassified,50.146,,20 mph,,West Highland Street,,"LINESTRING (-97.1494172 33.2093506, -97.1488782 33.2093492)"
5075741835,81870015,0,437822208,True,,unclassified,11.388,,20 mph,,West Highland Street,,"LINESTRING (-97.1463991 33.2093356, -97.1462767 33.2093349)"
5075741837,81870015,0,832381547,False,,unclassified,11.376,,20 mph,,Avenue A,,"LINESTRING (-97.1462777 33.2092326, -97.1462767 33.2093349)"
5075741837,81976291,0,832381547,False,,unclassified,35.294,,20 mph,,Avenue A,,"LINESTRING (-97.1462777 33.2092326, -97.146279 33.2089152)"
5075741850,81976286,0,966597112,False,,unclassified,5.824,,,,Avenue A,,"LINESTRING (-97.146237 33.2083375, -97.1462578 33.2083869)"
5075741850,81800565,0,966597112,False,,unclassified,12.321,,,,Avenue A,,"LINESTRING (-97.146237 33.2083375, -97.146187 33.2082349)"
5075741872,9532608571,0,9975998,False,,unclassified,15.928,,,,Central Avenue,,"LINESTRING (-97.1452732 33.2084567, -97.1452774 33.2083135)"
5075741872,5075741101,0,9975998,False,,unclassified,4.46,,,,Central Avenue,,"LINESTRING (-97.1452732 33.2084567, -97.1452721 33.2084968)"
5075741892,2996260115,0,9975998,False,,unclassified,26.714,,,,Central Avenue,,"LINESTRING (-97.145263 33.2090911, -97.1452685 33.2088509)"
5075741892,5075741100,0,9975998,False,,unclassified,6.072,,,,Central Avenue,,"LINESTRING (-97.145263 33.2090911, -97.1452617 33.2091457)"
5075741899,5734614919,0,437822208,True,,unclassified,75.304,,20 mph,,West Highland Street,,"LINESTRING (-97.1461671 33.2093333, -97.1453578 33.2093216)"
5075741921,81800571,0,150153956,True,,unclassified,4.457,,,,Maple Street,,"LINESTRING (-97.1484921 33.2082495, -97.14854 33.20825)"
5082068865,81910581,0,521601351,False,,tertiary,223.165,,,,East Sycamore Street,,"LINESTRING (-97.1259687 33.2124414, -97.1235702 33.2124085)"
5082068865,2354317825,0,521601351,False,,tertiary,1.238,,,,East Sycamore Street,,"LINESTRING (-97.1259687 33.2124414, -97.125982 33.2124412)"
5082149921,6044016147,0,739641945,True,3,secondary,24.578,,,,West Oak Street,,"LINESTRING (-97.1494924 33.21569, -97.1497566 33.21569)"
5082149922,81797221,0,152774059,True,2,secondary,10.222,,,,West Oak Street,,"LINESTRING (-97.1538702 33.2157265, -97.15398 33.21573)"
5082149923,8822904015,0,293940749,True,2,secondary,4.54,,,,West Oak Street,,"LINESTRING (-97.1462951 33.2156903, -97.1463439 33.2156896)"
5082149926,9549837372,0,9978718,False,,residential,7.722,,,,Charlotte Street,,"LINESTRING (-97.1614248 33.2128112, -97.1613418 33.2128117)"
5082149926,3695281124,0,9979398,False,,secondary,35.718,,,,South Bonnie Brae Street,,"LINESTRING (-97.1614248 33.2128112, -97.1614205 33.2131324)"
5082149926,81850936,0,521609564,False,,secondary,109.131,,,,South Bonnie Brae Street,,"LINESTRING (-97.1614248 33.2128112, -97.1614504 33.21183)"
5115466857,81976460,0,9980995,False,,unclassified,7.806,,,,Chestnut Street,,"LINESTRING (-97.1508346 33.2115695, -97.1507507 33.2115701)"
5115466857,2971799972,0,9980995,False,,unclassified,112.291,,,,Chestnut Street,,"LINESTRING (-97.1508346 33.2115695, -97.1520416 33.2115645)"
5115466897,81895631,0,739641955,False,,unclassified,8.109,,30 mph,,South Welch Street,,"LINESTRING (-97.1442903 33.2135642, -97.1442852 33.213637)"
5115466897,5213265711,0,739641955,False,,unclassified,97.138,,30 mph,,South Welch Street,,"LINESTRING (-97.1442903 33.2135642, -97.1443118 33.2126908)"
5115469343,2970522611,0,9980856,True,,tertiary,9.741,,,,Avenue C,,"LINESTRING (-97.150658 33.2114806, -97.1506568 33.2115682)"
5115469345,81976460,0,9980852,True,,tertiary,12.094,,,,Avenue C,,"LINESTRING (-97.1507552 33.2116788, -97.1507507 33.2115701)"
5115469362,9546840644,0,9980852,True,,tertiary,95.266,,,,Avenue C,,"LINESTRING (-97.1507563 33.2114834, -97.150767 33.2106267)"
5115469366,9547159268,0,9980856,True,,tertiary,77.763,,,,Avenue C,,"LINESTRING (-97.1506548 33.2116852, -97.1506461 33.2123845)"
5140200652,81997143,0,9983371,False,,tertiary,45.479,,,,Fulton Street,,"LINESTRING (-97.143273 33.2249244, -97.143262 33.2253333)"
5140200652,9504590079,0,9983371,False,,tertiary,37.454,,,,Fulton Street,,"LINESTRING (-97.143273 33.2249244, -97.1432844 33.2245877)"
5213265680,5060888365,0,603574574,True,,residential,4.162,,,,Avenue A,,"LINESTRING (-97.1464257 33.2146123, -97.1464339 33.2146491)"
5213265683,81977566,0,739641948,False,,unclassified,118.06,,,,Chestnut Street,,"LINESTRING (-97.1549866 33.2115218, -97.1537177 33.2115068)"
5213265683,81831419,0,739641948,False,,unclassified,8.904,,,,Chestnut Street,,"LINESTRING (-97.1549866 33.2115218, -97.1550823 33.2115228)"
5213265685,81831419,0,518150884,False,4,tertiary,10.587,,20 mph,,North Texas Boulevard,,"LINESTRING (-97.1550803 33.211618, -97.1550823 33.2115228)"
5213265685,5257708536,0,518150884,False,4,tertiary,61.781,,20 mph,,North Texas Boulevard,,"LINESTRING (-97.1550803 33.211618, -97.1550759 33.2121736)"
5213265687,81797233,0,1030062787,True,3,secondary,11.061,,,,West Oak Street,,"LINESTRING (-97.1505171 33.2157012, -97.150636 33.2157013)"
