u,v,key,osmid,oneway,lanes,highway,length,ref,maxspeed,bridge,name,junction,geometry
81632385,81632387,0,9943469,True,1,motorway_link,50.174,,,,,,"LINESTRING (-97.1578024 33.2067775, -97.1581994 33.2070829)"
81632385,82004513,0,517786209,True,2,motorway,98.421,I 35E,70 mph,,,,"LINESTRING (-97.1578024 33.2067775, -97.1587235 33.2072128)"
81632387,81632389,0,558582959,True,1,motorway_link,43.824,,,,,,"LINESTRING (-97.1581994 33.2070829, -97.1585886 33.2073049)"
81632389,81632391,0,558582960,True,1,motorway_link,46.757,,,,,,"LINESTRING (-97.1585886 33.2073049, -97.1590072 33.2075376)"
81632391,81632395,0,558582960,True,1,motorway_link,29.482,,,,,,"LINESTRING (-97.1590072 33.2075376, -97.1592788 33.2076742)"
81632395,81754560,0,9959877,True,1,motorway_link,36.292,,,,,,"LINESTRING (-97.1592788 33.2076742, -97.1595833 33.2078782)"
81632395,5387388213,0,558582961,True,1,motorway_link,51.444,,,,,,"LINESTRING (-97.1592788 33.2076742, -97.159764 33.2078961)"
81632399,5387388214,0,558582962,True,1,motorway_link,22.561,,,,,,"LINESTRING (-97.160705 33.2083367, -97.1609093 33.208446)"
81632400,81632401,0,558582962,True,1,motorway_link,21.493,,,,,,"LINESTRING (-97.1610878 33.208562, -97.1612522 33.2086978)"
81632401,81632405,0,39424666,True,1,motorway_link,62.1,,,yes,,,"LINESTRING (-97.1612522 33.2086978, -97.1617179 33.2090979)"
81632405,81632409,0,39424647,True,,motorway_link,63.585,,,,,,"LINESTRING (-97.1617179 33.2090979, -97.1621876 33.2095133)"
81632409,81632411,0,39424647,True,,motorway_link,17.651,,,,,,"LINESTRING (-97.1621876 33.2095133, -97.1623206 33.2096265)"
81632411,81632412,0,39424647,True,,motorway_link,22.071,,,,,,"LINESTRING (-97.1623206 33.2096265, -97.1625042 33.2097522)"
81632412,81632413,0,39424647,True,,motorway_link,18.545,,,,,,"LINESTRING (-97.1625042 33.2097522, -97.1626707 33.2098439)"
81645476,81769755,0,9961512,False,,residential,54.835,,,,Cross Timber Street,,"LINESTRING (-97.1274515 33.206941, -97.1274588 33.2064479)"
81645476,2968034182,0,9961512,False,,residential,31.124,,,,Cross Timber Street,,"LINESTRING (-97.1274515 33.206941, -97.1274605 33.2072208)"
81645488,8597857379,0,9970488,False,,tertiary,12.986,,,,Robertson Street,,"LINESTRING (-97.12589 33.20697, -97.1258322 33.2068637)"
81645488,1549948280,0,9970488,False,,tertiary,54.838,,,,Robertson Street,,"LINESTRING (-97.12589 33.20697, -97.1261359 33.2074182)"
81646894,81646896,0,751191312,True,1,motorway_link,18.135,,,,,,"LINESTRING (-97.1626365 33.207563, -97.162468 33.207645)"
81646896,5744725968,0,751191312,True,1,motorway_link,9.348,,,,,,"LINESTRING (-97.162468 33.207645, -97.1623785 33.2076832)"
81646897,5744725967,0,751191312,True,1,motorway_link,8.772,,,,,,"LINESTRING (-97.162285 33.207718, -97.162198 33.2077484)"
81646899,81646901,0,751191312,True,1,motorway_link,12.572,,,,,,"LINESTRING (-97.1620825 33.2077754, -97.1619504 33.2077992)"
81646901,81646903,0,751191312,True,1,motorway_link,14.697,,,,,,"LINESTRING (-97.1619504 33.2077992, -97.161794 33.2078178)"
81646903,81646905,0,751191312,True,1,motorway_link,26.494,,,,,,"LINESTRING (-97.161794 33.2078178, -97.1615105 33.2078403)"
81646905,81646908,0,28462358,True,,secondary,21.315,,,,North Interstate 35E,,"LINESTRING (-97.1615105 33.2078403, -97.161288 33.207886)"
81646905,5744725966,0,220441241,False,1,secondary,67.474,FM 1515,45 mph,,South Bonnie Brae Street,,"LINESTRING (-97.1615105 33.2078403, -97.1615241 33.2072336)"
81646905,5052229410,0,220441241,False,1,secondary,176.844,FM 1515,45 mph,,South Bonnie Brae Street,,"LINESTRING (-97.1615105 33.2078403, -97.1614684 33.2094303)"
81646908,81646910,0,28462358,True,,secondary,10.141,,,,North Interstate 35E,,"LINESTRING (-97.161288 33.207886, -97.161179 33.207886)"
81646910,81646911,0,28462358,True,,secondary,9.525,,,,North Interstate 35E,,"LINESTRING (-97.161179 33.207886, -97.161078 33.207872)"
81646911,81646913,0,28462358,True,,secondary,10.784,,,,North Interstate 35E,,"LINESTRING (-97.161078 33.207872, -97.160966 33.207847)"
81646913,81646915,0,28462358,True,,secondary,18.636,,,,North Interstate 35E,,"LINESTRING (-97.160966 33.207847, -97.160784 33.207777)"
81646915,4700063663,0,28462358,True,,secondary,228.991,,,,North Interstate 35E,,"LINESTRING (-97.160784 33.207777, -97.1586493 33.2067519)"
81655744,8859235315,0,9946906,False,,residential,7.495,,,,Old Main Circle,,"LINESTRING (-97.12801 33.222281, -97.1280089 33.2223484)"
81655744,7054935083,0,9982618,False,,residential,17.118,,,,Texas Street,,"LINESTRING (-97.12801 33.222281, -97.128194 33.2222835)"
81655744,8859246544,0,9982618,False,,residential,55.208,,,,Texas Street,,"LINESTRING (-97.12801 33.222281, -97.1274166 33.2222715)"
81655749,8859235306,0,9946906,False,,residential,29.347,,,,Old Main Circle,,"LINESTRING (-97.1279803 33.2241152, -97.1279846 33.2238513)"
81655749,81727904,0,9956306,False,,residential,6.583,,,,Old Main Circle,,"LINESTRING (-97.1279803 33.2241152, -97.1279111 33.2241276)"
81655749,2973965975,0,9956306,False,,residential,7.478,,,,Old Main Circle,,"LINESTRING (-97.1279803 33.2241152, -97.1280602 33.2241226)"
81655753,8859235290,0,9946908,False,,residential,12.795,,,,Old Main Circle,,"LINESTRING (-97.127758 33.224311, -97.1276205 33.2243078)"
81655753,81727910,0,9956306,False,,residential,7.469,,,,Old Main Circle,,"LINESTRING (-97.127758 33.224311, -97.1277709 33.2243773)"
81655753,2973965974,0,9956306,False,,residential,6.588,,,,Old Main Circle,,"LINESTRING (-97.127758 33.224311, -97.1277692 33.2242525)"
81655755,8859235255,0,9946908,False,,residential,9.129,,,,Old Main Circle,,"LINESTRING (-97.127303 33.2243001, -97.1274011 33.2243024)"
81655755,1549948077,0,293811603,False,,secondary,8.951,,,,North Bell Avenue,,"LINESTRING (-97.127303 33.2243001, -97.1273037 33.2242196)"
81655755,81987122,0,293811603,False,,secondary,30.012,,,,North Bell Avenue,,"LINESTRING (-97.127303 33.2243001, -97.1273007 33.22457)"
81706482,81800506,0,9964152,False,,residential,36.326,,,,Maple Street,,"LINESTRING (-97.1373714 33.2082955, -97.1369833 33.2082597)"
81727904,9553493467,0,9956306,False,,residential,3.312,,,,Old Main Circle,,"LINESTRING (-97.1279111 33.2241276, -97.12788 33.2241421)"
81727904,81655749,0,9956306,False,,residential,6.583,,,,Old Main Circle,,"LINESTRING (-97.1279111 33.2241276, -97.1279803 33.2241152)"
81727906,81727908,0,9956306,False,,residential,6.585,,,,Old Main Circle,,"LINESTRING (-97.1278493 33.2241565, -97.1278005 33.2241994)"
81727906,8859235285,0,9956306,False,,residential,2.621,,,,Old Main Circle,,"LINESTRING (-97.1278493 33.2241565, -97.1278739 33.224145)"
81727908,2973965974,0,9956306,False,,residential,6.583,,,,Old Main Circle,,"LINESTRING (-97.1278005 33.2241994, -97.1277692 33.2242525)"
81727908,81727906,0,9956306,False,,residential,6.585,,,,Old Main Circle,,"LINESTRING (-97.1278005 33.2241994, -97.1278493 33.2241565)"
81727910,8822861518,0,9956306,False,,residential,5.049,,,,Old Main Circle,,"LINESTRING (-97.1277709 33.2243773, -97.1277968 33.2244172)"
81727910,81655753,0,9956306,False,,residential,7.469,,,,Old Main Circle,,"LINESTRING (-97.1277709 33.2243773, -97.127758 33.224311)"
81727911,81727913,0,9956306,False,,residential,7.487,,,,Old Main Circle,,"LINESTRING (-97.1278097 33.2244362, -97.1278699 33.2244809)"
81727911,8822861518,0,9956306,False,,residential,2.43,,,,Old Main Circle,,"LINESTRING (-97.1278097 33.2244362, -97.1277968 33.2244172)"
81727913,81727915,0,9956306,False,,residential,7.475,,,,Old Main Circle,,"LINESTRING (-97.1278699 33.2244809, -97.1279444 33.2245061)"
81727913,81727911,0,9956306,False,,residential,7.487,,,,Old Main Circle,,"LINESTRING (-97.1278699 33.2244809, -97.1278097 33.2244362)"
81727915,9553455315,0,9956306,False,,residential,5.549,,,,Old Main Circle,,"LINESTRING (-97.1279444 33.2245061, -97.128004 33.2245082)"
81727915,81727913,0,9956306,False,,residential,7.475,,,,Old Main Circle,,"LINESTRING (-97.1279444 33.2245061, -97.1278699 33.2244809)"
81727917,81727919,0,9956306,False,,residential,7.472,,,,Old Main Circle,,"LINESTRING (-97.1280247 33.2245089, -97.1281015 33.2244892)"
81727917,9553455315,0,9956306,False,,residential,1.927,,,,Old Main Circle,,"LINESTRING (-97.1280247 33.2245089, -97.128004 33.2245082)"
81727919,81727921,0,9956306,False,,residential,7.482,,,,Old Main Circle,,"LINESTRING (-97.1281015 33.2244892, -97.128166 33.224449)"
81727919,81727917,0,9956306,False,,residential,7.472,,,,Old Main Circle,,"LINESTRING (-97.1281015 33.2244892, -97.1280247 33.2245089)"
81727921,81727925,0,9956306,False,,residential,7.473,,,,Old Main Circle,,"LINESTRING (-97.128166 33.224449, -97.1282106 33.2243931)"
81727921,81727919,0,9956306,False,,residential,7.482,,,,Old Main Circle,,"LINESTRING (-97.128166 33.224449, -97.1281015 33.2244892)"
81727925,8822835314,0,9956306,False,,residential,3.86,,,,Old Main Circle,,"LINESTRING (-97.1282106 33.2243931, -97.1282242 33.2243603)"
81727925,81727921,0,9956306,False,,residential,7.473,,,,Old Main Circle,,"LINESTRING (-97.1282106 33.2243931, -97.128166 33.224449)"
81727927,9552277683,0,9956306,False,,residential,3.552,,,,Old Main Circle,,"LINESTRING (-97.1282303 33.2243279, -97.1282267 33.2242961)"
81727927,8822835314,0,9956306,False,,residential,3.647,,,,Old Main Circle,,"LINESTRING (-97.1282303 33.2243279, -97.1282242 33.2243603)"
81727929,9552277681,0,9956306,False,,residential,2.701,,,,Old Main Circle,,"LINESTRING (-97.1282228 33.2242609, -97.1282105 33.2242389)"
81727929,9552277683,0,9956306,False,,residential,3.931,,,,Old Main Circle,,"LINESTRING (-97.1282228 33.2242609, -97.1282267 33.2242961)"
81727931,81727933,0,9956306,False,,residential,7.484,,,,Old Main Circle,,"LINESTRING (-97.1281889 33.2242, -97.1281325 33.224152)"
81727931,9552277681,0,9956306,False,,residential,4.769,,,,Old Main Circle,,"LINESTRING (-97.1281889 33.2242, -97.1282105 33.2242389)"
81727933,2973965975,0,9956306,False,,residential,7.478,,,,Old Main Circle,,"LINESTRING (-97.1281325 33.224152, -97.1280602 33.2241226)"
81727933,81727931,0,9956306,False,,residential,7.484,,,,Old Main Circle,,"LINESTRING (-97.1281325 33.224152, -97.1281889 33.2242)"
81745854,81757508,0,9973817,False,,residential,32.581,,,,Bradley Street,,"LINESTRING (-97.153963 33.2171, -97.15396 33.217393)"
81745854,4602309824,0,9973817,False,,residential,42.345,,,,Bradley Street,,"LINESTRING (-97.153963 33.2171, -97.1539677 33.2167192)"
81745868,81840200,0,9973817,False,,residential,2.891,,,,Bradley Street,,"LINESTRING (-97.15396 33.217674, -97.15396 33.2177)"
81745868,81757508,0,9973817,False,,residential,31.246,,,,Bradley Street,,"LINESTRING (-97.15396 33.217674, -97.15396 33.217393)"
81754560,5744697369,0,9959877,True,1,motorway_link,68.716,,,,,,"LINESTRING (-97.1595833 33.2078782, -97.1601419 33.2082825)"
81754563,81754565,0,9959877,True,1,motorway_link,18.088,,,,,,"LINESTRING (-97.1603925 33.2084848, -97.1605162 33.2086103)"
81754565,5052229381,0,9959877,True,1,motorway_link,46.914,,,,,,"LINESTRING (-97.1605162 33.2086103, -97.1608151 33.2089501)"
81757508,81745868,0,9973817,False,,residential,31.246,,,,Bradley Street,,"LINESTRING (-97.15396 33.217393, -97.15396 33.217674)"
81757508,81745854,0,9973817,False,,residential,32.581,,,,Bradley Street,,"LINESTRING (-97.15396 33.217393, -97.153963 33.2171)"
81763204,81763203,0,52583251,True,2,primary,16.279,US 77,,,Dallas Drive,,"LINESTRING (-97.131946 33.2061623, -97.1319256 33.2060169)"
81763205,81763204,0,9960976,True,1,primary_link,18.7,,,,,,"LINESTRING (-97.132009 33.206322, -97.131946 33.2061623)"
81763206,9558335643,0,9960976,True,1,primary_link,6.345,,,,,,"LINESTRING (-97.132083 33.20639, -97.1320371 33.2063478)"
81763208,81763206,0,9960976,True,1,primary_link,7.641,,,,,,"LINESTRING (-97.132148 33.206432, -97.132083 33.20639)"
81763210,81763208,0,9960976,True,1,primary_link,17.273,,,,,,"LINESTRING (-97.1323188 33.2064929, -97.132148 33.206432)"
81763210,9562937293,0,41440930,False,4,primary,9.963,US 77,,,Eagle Drive,,"LINESTRING (-97.1323188 33.2064929, -97.1324258 33.2064964)"
81763210,9558335644,0,52583250,False,2,primary,31.952,US 77,,,Eagle Drive,,"LINESTRING (-97.1323188 33.2064929, -97.1319784 33.2064548)"
81763215,81763216,0,9960978,True,2,primary,7.203,US 77,,,Dallas Drive,,"LINESTRING (-97.1318914 33.2064399, -97.1319275 33.2063826)"
81763215,9558335644,0,52583250,False,2,primary,8.262,US 77,,,Eagle Drive,,"LINESTRING (-97.1318914 33.2064399, -97.1319784 33.2064548)"
81763215,3301644351,0,323361724,False,2,primary,9.367,US 77,,,Eagle Drive,,"LINESTRING (-97.1318914 33.2064399, -97.1317939 33.2064189)"
81763216,81763217,0,9960978,True,2,primary,9.102,US 77,,,Dallas Drive,,"LINESTRING (-97.1319275 33.2063826, -97.1319508 33.2063031)"
81763217,81763204,0,9960978,True,2,primary,15.663,US 77,,,Dallas Drive,,"LINESTRING (-97.1319508 33.2063031, -97.131946 33.2061623)"
81763294,81763296,0,9960985,False,4,primary,37.514,US 377,,,Fort Worth Drive,,"LINESTRING (-97.13427 33.2065, -97.134408 33.206183)"
81763294,9562937255,0,28462426,False,4,primary,13.742,US 77;US 377,,,Eagle Drive,,"LINESTRING (-97.13427 33.2065, -97.1341223 33.206501)"
81763294,81818307,0,589767596,False,,tertiary,72.561,,,,Eagle Drive,,"LINESTRING (-97.13427 33.2065, -97.1350499 33.2065034)"
81763296,81763294,0,9960985,False,4,primary,37.514,US 377,,,Fort Worth Drive,,"LINESTRING (-97.134408 33.206183, -97.13427 33.2065)"
81763815,8981398467,0,9961032,False,,secondary,31.03,,,,East Parkway Street,,"LINESTRING (-97.13239 33.2181792, -97.1320565 33.2181738)"
81763815,81831661,0,9966903,False,,secondary,26.63,,,,West Parkway Street,,"LINESTRING (-97.13239 33.2181792, -97.1326685 33.2181238)"
81763815,8981398474,0,555208680,True,2,primary,44.555,US 77;US 377,,,North Locust Street,,"LINESTRING (-97.13239 33.2181792, -97.1323796 33.2185798)"
81763820,2661970562,0,9961032,False,,secondary,4.522,,,,East Parkway Street,,"LINESTRING (-97.13182 33.21817, -97.1317717 33.2181746)"
81763820,8981398467,0,9961032,False,,secondary,22.004,,,,East Parkway Street,,"LINESTRING (-97.13182 33.21817, -97.1320565 33.2181738)"
81765376,8859163389,0,9961199,False,,residential,4.977,,,,Haynes Street,,"LINESTRING (-97.14234 33.216949, -97.1422865 33.2169484)"
81765376,8859163387,0,9967154,False,,residential,7.163,,,,Amarillo Street,,"LINESTRING (-97.14234 33.216949, -97.142338 33.2170134)"
81765376,8859163385,0,9967154,False,,residential,7.586,,,,Amarillo Street,,"LINESTRING (-97.14234 33.216949, -97.1423422 33.2168808)"
81765383,8859163377,0,9961199,False,,residential,7.322,,,,Haynes Street,,"LINESTRING (-97.1403916 33.2169257, -97.1404703 33.2169266)"
81765383,9502612898,0,9967447,False,,residential,81.406,,,,Mounts Street,,"LINESTRING (-97.1403916 33.2169257, -97.1403774 33.2176577)"
81765383,2968033425,0,9967447,False,,residential,15.137,,,,Mounts Street,,"LINESTRING (-97.1403916 33.2169257, -97.1403948 33.2167896)"
81767076,81767079,0,9961330,False,,residential,110.099,,,,Alexander Street,,"LINESTRING (-97.12205 33.20815, -97.12207 33.20716)"
81767076,9513905190,0,9968880,False,,residential,44.148,,,,Wilson Street,,"LINESTRING (-97.12205 33.20815, -97.1225245 33.208154)"
81767076,3037260970,0,9968880,False,,residential,43.271,,,,Wilson Street,,"LINESTRING (-97.12205 33.20815, -97.1215849 33.2081483)"
81767079,81767076,0,9961330,False,,residential,110.099,,,,Alexander Street,,"LINESTRING (-97.12207 33.20716, -97.12205 33.20815)"
81769752,2968034182,0,9961512,False,,residential,45.747,,,,Cross Timber Street,,"LINESTRING (-97.1274567 33.2076322, -97.1274605 33.2072208)"
81769752,81939529,0,9976916,False,,residential,19.891,,,,Wye Street,,"LINESTRING (-97.1274567 33.2076322, -97.12767 33.20762)"
81769755,81645476,0,9961512,False,,residential,54.835,,,,Cross Timber Street,,"LINESTRING (-97.1274588 33.2064479, -97.1274515 33.206941)"
81769755,8597857375,0,9970899,False,,tertiary,91.362,,,,Mill Street,,"LINESTRING (-97.1274588 33.2064479, -97.1264775 33.2064169)"
81769755,81874512,0,9970899,False,,tertiary,84.786,,,,Mill Street,,"LINESTRING (-97.1274588 33.2064479, -97.12837 33.20646)"
81769781,81769783,0,9961514,False,,residential,62.054,,,,Highland Street,,"LINESTRING (-97.1325 33.20922, -97.131833 33.209221)"
81769781,81946700,0,9977716,True,3,primary,74.524,US 77;US 377,,,South Locust Street,,"LINESTRING (-97.1325 33.20922, -97.13248 33.20989)"
81769783,81769785,0,9961514,False,,residential,12.103,,,,Highland Street,,"LINESTRING (-97.131833 33.209221, -97.131703 33.209217)"
81769783,81769781,0,9961514,False,,residential,62.054,,,,Highland Street,,"LINESTRING (-97.131833 33.209221, -97.1325 33.20922)"
81769785,81769786,0,9961514,False,,residential,18.775,,,,Highland Street,,"LINESTRING (-97.131703 33.209217, -97.131511 33.209165)"
81769785,81769783,0,9961514,False,,residential,12.103,,,,Highland Street,,"LINESTRING (-97.131703 33.209217, -97.131833 33.209221)"
81769786,81769785,0,9961514,False,,residential,18.775,,,,Highland Street,,"LINESTRING (-97.131511 33.209165, -97.131703 33.209217)"
81769786,81974469,0,9980612,False,,residential,15.674,,,,Wainwright Street,,"LINESTRING (-97.131511 33.209165, -97.1316242 33.2090606)"
81769786,81974467,0,9980612,False,,residential,9.088,,,,Wainwright Street,,"LINESTRING (-97.131511 33.209165, -97.1314492 33.2092283)"
81770592,81977713,0,141599910,False,,residential,18.948,,,,Avenue R,,"LINESTRING (-97.13106 33.206164, -97.131046 33.206334)"
81772965,81772967,0,9961805,False,,residential,34.093,,,,Cook Street,,"LINESTRING (-97.12952 33.208669, -97.129543 33.208363)"
81772965,81869891,0,9970488,False,,tertiary,18.497,,,,Robertson Street,,"LINESTRING (-97.12952 33.208669, -97.12933 33.20862)"
81772965,81869889,0,9970488,False,,tertiary,9.634,,,,Robertson Street,,"LINESTRING (-97.12952 33.208669, -97.129618 33.208697)"
81772967,81772969,0,9961805,False,,residential,120.226,,,,Cook Street,,"LINESTRING (-97.129543 33.208363, -97.129569 33.207282)"
81772967,81772965,0,9961805,False,,residential,34.093,,,,Cook Street,,"LINESTRING (-97.129543 33.208363, -97.12952 33.208669)"
81772969,81772972,0,9961805,False,,residential,9.156,,,,Cook Street,,"LINESTRING (-97.129569 33.207282, -97.12956 33.2072)"
81772969,81772967,0,9961805,False,,residential,120.226,,,,Cook Street,,"LINESTRING (-97.129569 33.207282, -97.129543 33.208363)"
81772972,81772974,0,9961805,False,,residential,77.859,,,,Cook Street,,"LINESTRING (-97.12956 33.2072, -97.12958 33.2065)"
81772972,81772969,0,9961805,False,,residential,9.156,,,,Cook Street,,"LINESTRING (-97.12956 33.2072, -97.129569 33.207282)"
81772972,81939523,0,9976916,False,,residential,34.626,,,,Wye Street,,"LINESTRING (-97.12956 33.2072, -97.1292 33.207279)"
81772972,81939521,0,9976916,False,,residential,61.545,,,,Wye Street,,"LINESTRING (-97.12956 33.2072, -97.1302 33.20706)"
81772974,81772972,0,9961805,False,,residential,77.859,,,,Cook Street,,"LINESTRING (-97.12958 33.2065, -97.12956 33.2072)"
81772974,81792462,0,9970899,False,,tertiary,100.536,,,,Mill Street,,"LINESTRING (-97.12958 33.2065, -97.1285 33.20647)"
81772974,7634016099,0,9970899,False,,tertiary,8.609,,,,Mill Street,,"LINESTRING (-97.12958 33.2065, -97.1296725 33.2065021)"
81773648,8822904011,0,9961848,False,,residential,8.017,,,,Ponder Street,,"LINESTRING (-97.14478 33.21568, -97.14478 33.2157521)"
81773648,9033084822,0,974873273,True,2,secondary,7.014,,,,West Oak Street,,"LINESTRING (-97.14478 33.21568, -97.1448554 33.2156801)"
81773650,8593878466,0,9961848,False,,residential,41.998,,,,Ponder Street,,"LINESTRING (-97.14478 33.21634, -97.14478 33.2167177)"
81773650,8822904011,0,9961848,False,,residential,65.372,,,,Ponder Street,,"LINESTRING (-97.14478 33.21634, -97.14478 33.2157521)"
81773652,7760525706,0,9961848,False,,residential,12.4,,,,Ponder Street,,"LINESTRING (-97.14478 33.217309, -97.1447824 33.2174205)"
81773652,7760525704,0,9961848,False,,residential,10.986,,,,Ponder Street,,"LINESTRING (-97.14478 33.217309, -97.14478 33.2172102)"
81773652,8859155266,0,9972259,False,,residential,2.977,,,,Grace Temple Avenue,,"LINESTRING (-97.14478 33.217309, -97.144748 33.2173092)"
81773654,6041500985,0,9961848,False,,residential,80.516,,,,Ponder Street,,"LINESTRING (-97.1448064 33.2186347, -97.144792 33.2179107)"
81773654,6041497178,0,641546785,False,,residential,2.816,,,,Ponder Street,,"LINESTRING (-97.1448064 33.2186347, -97.1448009 33.2186596)"
81773656,6041497183,0,375220504,False,,tertiary,5.51,,,,Scripture Street,,"LINESTRING (-97.1447998 33.2186664, -97.1448547 33.2186478)"
81773656,81773658,0,641546784,False,,residential,9.755,,,,Ponder Street,,"LINESTRING (-97.1447998 33.2186664, -97.144768 33.21875)"
81773656,6041497178,0,641546785,False,,residential,0.763,,,,Ponder Street,,"LINESTRING (-97.1447998 33.2186664, -97.1448009 33.2186596)"
81773658,81773660,0,641546784,False,,residential,19.008,,,,Ponder Street,,"LINESTRING (-97.144768 33.21875, -97.14469 33.218908)"
81773658,81773656,0,641546784,False,,residential,9.755,,,,Ponder Street,,"LINESTRING (-97.144768 33.21875, -97.1447998 33.2186664)"
81773660,81773661,0,641546784,False,,residential,12.998,,,,Ponder Street,,"LINESTRING (-97.14469 33.218908, -97.14465 33.21902)"
81773660,81773658,0,641546784,False,,residential,19.008,,,,Ponder Street,,"LINESTRING (-97.14469 33.218908, -97.144768 33.21875)"
81773661,81773662,0,641546784,False,,residential,12.372,,,,Ponder Street,,"LINESTRING (-97.14465 33.21902, -97.14463 33.21913)"
81773661,81773660,0,641546784,False,,residential,12.998,,,,Ponder Street,,"LINESTRING (-97.14465 33.21902, -97.14469 33.218908)"
81773662,81773664,0,641546784,False,,residential,37.207,,,,Ponder Street,,"LINESTRING (-97.14463 33.21913, -97.1446267 33.2194646)"
81773662,81773661,0,641546784,False,,residential,12.372,,,,Ponder Street,,"LINESTRING (-97.14463 33.21913, -97.14465 33.21902)"
81773664,8859155257,0,9981083,False,,tertiary,7.048,,,,West Congress Street,,"LINESTRING (-97.1446267 33.2194646, -97.144551 33.219462)"
81773664,8859141931,0,641546784,False,,residential,7.846,,,,Ponder Street,,"LINESTRING (-97.1446267 33.2194646, -97.1446233 33.2195351)"
81773664,81773662,0,641546784,False,,residential,37.207,,,,Ponder Street,,"LINESTRING (-97.1446267 33.2194646, -97.14463 33.21913)"
81773666,8859141952,0,9976949,False,,residential,98.775,,,,Egan Street,,"LINESTRING (-97.14458 33.22044, -97.1435184 33.220421)"
81773666,8859141903,0,9976949,False,,residential,8.58,,,,Egan Street,,"LINESTRING (-97.14458 33.22044, -97.1446722 33.2204422)"
81773666,8859141924,0,641546784,False,,residential,10.133,,,,Ponder Street,,"LINESTRING (-97.14458 33.22044, -97.1445773 33.2205311)"
81773666,8859141938,0,641546784,False,,residential,6.299,,,,Ponder Street,,"LINESTRING (-97.14458 33.22044, -97.1445827 33.2203834)"
81773668,81875259,0,9970968,False,2,residential,86.91,,,,Panhandle Street,,"LINESTRING (-97.14455 33.22144, -97.145484 33.22146)"
81773668,9504343744,0,9970968,False,2,residential,98.807,,,,Panhandle Street,,"LINESTRING (-97.14455 33.22144, -97.1434883 33.2214128)"
81773668,8859141886,0,641546784,False,,residential,7.551,,,,Ponder Street,,"LINESTRING (-97.14455 33.22144, -97.1445486 33.2215079)"
81773668,8859141895,0,641546784,False,,residential,8.676,,,,Ponder Street,,"LINESTRING (-97.14455 33.22144, -97.1445523 33.221362)"
81773669,81773670,0,641546784,False,,residential,35.742,,,,Ponder Street,,"LINESTRING (-97.14454 33.221939, -97.14452 33.22226)"
81773669,8859141886,0,641546784,False,,residential,47.943,,,,Ponder Street,,"LINESTRING (-97.14454 33.221939, -97.1445486 33.2215079)"
81773670,81773671,0,641546784,False,,residential,18.903,,,,Ponder Street,,"LINESTRING (-97.14452 33.22226, -97.14452 33.22243)"
81773670,81773669,0,641546784,False,,residential,35.742,,,,Ponder Street,,"LINESTRING (-97.14452 33.22226, -97.14454 33.221939)"
81773671,81822396,0,9966184,False,,residential,142.477,,,,Broadway Street,,"LINESTRING (-97.14452 33.22243, -97.146051 33.222468)"
81773671,81822391,0,9966184,False,,residential,9.675,,,,Broadway Street,,"LINESTRING (-97.14452 33.22243, -97.144416 33.222431)"
81773671,81773673,0,641546784,False,,residential,25.464,,,,Ponder Street,,"LINESTRING (-97.14452 33.22243, -97.14452 33.222659)"
81773671,81773670,0,641546784,False,,residential,18.903,,,,Ponder Street,,"LINESTRING (-97.14452 33.22243, -97.14452 33.22226)"
81773673,81773675,0,641546784,False,,residential,84.554,,,,Ponder Street,,"LINESTRING (-97.14452 33.222659, -97.14449 33.223419)"
81773673,81773671,0,641546784,False,,residential,25.464,,,,Ponder Street,,"LINESTRING (-97.14452 33.222659, -97.14452 33.22243)"
81773675,81823103,0,197598195,False,,residential,273.56,,,,Linden Drive,,"LINESTRING (-97.14449 33.223419, -97.14743 33.22348)"
81773675,9504343720,0,197598195,False,,residential,97.987,,,,Linden Drive,,"LINESTRING (-97.14449 33.223419, -97.1434367 33.2234068)"
81773675,81773677,0,641546784,False,,residential,53.181,,,,Ponder Street,,"LINESTRING (-97.14449 33.223419, -97.144471 33.223897)"
81773675,81773673,0,641546784,False,,residential,84.554,,,,Ponder Street,,"LINESTRING (-97.14449 33.223419, -97.14452 33.222659)"
81773677,81773679,0,641546784,False,,residential,14.985,,,,Ponder Street,,"LINESTRING (-97.144471 33.223897, -97.1445534 33.2240128)"
81773677,81773675,0,641546784,False,,residential,53.181,,,,Ponder Street,,"LINESTRING (-97.144471 33.223897, -97.14449 33.223419)"
81773679,3040297331,0,641546784,False,,residential,147.569,,,,Ponder Street,,"LINESTRING (-97.1445534 33.2240128, -97.1461396 33.2240364)"
81773679,81773677,0,641546784,False,,residential,14.985,,,,Ponder Street,,"LINESTRING (-97.1445534 33.2240128, -97.144471 33.223897)"
81773864,81773868,0,9961865,False,,tertiary,79.038,,,,Morse Street,,"LINESTRING (-97.1250008 33.2063785, -97.1241519 33.2063512)"
81773864,81773927,0,9961867,False,,residential,8.461,,,,Jackson Street,,"LINESTRING (-97.1250008 33.2063785, -97.1250239 33.2064521)"
81773864,1549948098,0,9970899,False,,tertiary,7.382,,,,Mill Street,,"LINESTRING (-97.1250008 33.2063785, -97.1250801 33.2063806)"
81773868,9558340375,0,9961865,False,,tertiary,7.545,,,,Morse Street,,"LINESTRING (-97.1241519 33.2063512, -97.1240708 33.2063508)"
81773868,81773864,0,9961865,False,,tertiary,79.038,,,,Morse Street,,"LINESTRING (-97.1241519 33.2063512, -97.1250008 33.2063785)"
