u,v,key,osmid,name,highway,oneway,length,lanes,ref,maxspeed,geometry
8863388266,81895631,0,521609570,West Mulberry Street,residential,False,8.402,,,,"LINESTRING (-97.1441949 33.2136355, -97.1442852 33.213637)"
8863388267,81895631,0,512632091,South Welch Street,unclassified,False,9.051,,,30 mph,"LINESTRING (-97.1442805 33.2137183, -97.1442852 33.213637)"
8863388267,5048578937,0,512632091,South Welch Street,unclassified,False,32.662,,,30 mph,"LINESTRING (-97.1442805 33.2137183, -97.1442636 33.2140117)"
8863388279,81797241,0,9978657,Bryan Street,residential,False,8.74,,,,"LINESTRING (-97.14779 33.2157686, -97.14779 33.21569)"
8863388279,81955249,0,9978657,Bryan Street,residential,False,19.059,,,,"LINESTRING (-97.14779 33.2157686, -97.14779 33.21594)"
8942559906,6731315155,0,589767596,Eagle Drive,tertiary,False,18.99,,,,"LINESTRING (-97.1356 33.2065052, -97.1353959 33.2065038)"
8942559906,6041354017,0,589767596,Eagle Drive,tertiary,False,21.036,,,,"LINESTRING (-97.1356 33.2065052, -97.1358261 33.2065068)"
8944753222,6749443189,0,9982426,West Sycamore Street,tertiary,False,57.537,,,,"LINESTRING (-97.1326023 33.2125046, -97.1332207 33.2125126)"
8944753222,81910598,0,9982426,West Sycamore Street,tertiary,False,11.556,,,,"LINESTRING (-97.1326023 33.2125046, -97.1324781 33.212503)"
8944759855,7830824130,0,942213963,Carroll Boulevard,secondary,True,42.513,4,,,"LINESTRING (-97.1372733 33.2139676, -97.1372681 33.2135853)"
8944848470,7830831200,0,9974148,Piner Street,residential,False,35.363,,,,"LINESTRING (-97.1365331 33.2152311, -97.1365283 33.2155491)"
8944848470,7830816046,0,9974148,Piner Street,residential,False,4.726,,,,"LINESTRING (-97.1365331 33.2152311, -97.1365337 33.2151886)"
8944848476,7830816046,0,9974148,Piner Street,residential,False,34.306,,,,"LINESTRING (-97.1365382 33.2148801, -97.1365337 33.2151886)"
8944848476,7830824091,0,9974148,Piner Street,residential,False,26.255,,,,"LINESTRING (-97.1365382 33.2148801, -97.1365417 33.214644)"
9021546371,5791316785,0,521609562,South Welch Street,unclassified,False,19.827,,,30 mph,"LINESTRING (-97.1444027 33.2068109, -97.1444005 33.2069892)"
9021546371,8860768054,0,521609562,South Welch Street,unclassified,False,10.742,,,30 mph,"LINESTRING (-97.1444027 33.2068109, -97.1444039 33.2067143)"
9021546381,81831477,0,60323910,North Texas Boulevard,tertiary,True,3.826,2,,,"LINESTRING (-97.1530297 33.205995, -97.1530451 33.2060269)"
9021561700,7830733378,0,9981328,North Cedar Street,residential,False,20.693,,,,"LINESTRING (-97.1343093 33.2148013, -97.1343099 33.2146152)"
9021561700,7830824950,0,9981328,North Cedar Street,residential,False,33.37,,,,"LINESTRING (-97.1343093 33.2148013, -97.1343083 33.2151014)"
9021561703,7830824967,0,739625075,Bolivar Street,residential,False,12.234,,,,"LINESTRING (-97.1351763 33.215786, -97.1351789 33.215676)"
9021660765,7830816042,0,974877721,North Carroll Boulevard,secondary,True,14.773,4,,,"LINESTRING (-97.1371121 33.2150716, -97.1371311 33.2152035)"
9021660776,9021660777,0,974877733,Carroll Boulevard,secondary,True,16.721,4,,,"LINESTRING (-97.137152 33.2129707, -97.1371606 33.2131209)"
9021660777,7830824128,0,974877733,Carroll Boulevard,secondary,True,38.078,4,,,"LINESTRING (-97.1371606 33.2131209, -97.137154 33.2134633)"
9021660778,9021660776,0,974877735,Carroll Boulevard,secondary,True,31.305,3,,,"LINESTRING (-97.137147 33.2126892, -97.137152 33.2129707)"
9021660779,9021660780,0,974877736,Carroll Boulevard,secondary,True,16.573,4,,,"LINESTRING (-97.1371551 33.2120183, -97.1371717 33.2121667)"
9021660780,3037366933,0,974877736,Carroll Boulevard,secondary,True,43.678,4,,,"LINESTRING (-97.1371717 33.2121667, -97.1371689 33.2125595)"
9029256999,6749108434,0,365519044,West Hickory Street,secondary,True,7.87,2,,,"LINESTRING (-97.1449333 33.2146391, -97.1448487 33.2146386)"
9033084820,5060996619,0,974873273,West Oak Street,secondary,True,46.458,2,,,"LINESTRING (-97.1450998 33.2156789, -97.1455992 33.2156787)"
9033084822,9033084820,0,974873273,West Oak Street,secondary,True,22.736,2,,,"LINESTRING (-97.1448554 33.2156801, -97.1450998 33.2156789)"
9036693229,7052346677,0,256877979,West Prairie Street,unclassified,False,27.541,,,,"LINESTRING (-97.1432903 33.2104056, -97.1429943 33.2104016)"
9036693229,2973895704,0,256877979,West Prairie Street,unclassified,False,18.144,,,,"LINESTRING (-97.1432903 33.2104056, -97.1434853 33.2104083)"
9036693234,2973895704,0,256877979,West Prairie Street,unclassified,False,4.959,,,,"LINESTRING (-97.1435386 33.210409, -97.1434853 33.2104083)"
9036693234,5060969333,0,256877979,West Prairie Street,unclassified,False,10.365,,,,"LINESTRING (-97.1435386 33.210409, -97.14365 33.2104106)"
9036693260,2973895706,0,256877979,West Prairie Street,unclassified,False,11.612,,,,"LINESTRING (-97.1428207 33.210399, -97.1426959 33.2103971)"
9036693260,7052346677,0,256877979,West Prairie Street,unclassified,False,16.153,,,,"LINESTRING (-97.1428207 33.210399, -97.1429943 33.2104016)"
