osmid,y,x,street_count,highway,geometry
9539287294,33.2146032,-97.1528758,2,crossing,POINT (-97.1528758 33.2146032)
9539287299,33.2147467,-97.1536618,2,crossing,POINT (-97.1536618 33.2147467)
9540212029,33.2126053,-97.1528927,2,crossing,POINT (-97.1528927 33.2126053)
9540424006,33.2156197,-97.1484198,2,crossing,POINT (-97.1484198 33.2156197)
9540424008,33.2092888,-97.1402215,2,crossing,POINT (-97.1402215 33.2092888)
9540501664,33.2146605,-97.1483563,2,crossing,POINT (-97.1483563 33.2146605)
9540501665,33.2145939,-97.1484361,2,crossing,POINT (-97.1484361 33.2145939)
9540501669,33.2146603,-97.1485285,2,crossing,POINT (-97.1485285 33.2146603)
9540501670,33.2147304,-97.1484345,2,crossing,POINT (-97.1484345 33.2147304)
9545326164,33.2093874,-97.1538242,2,,POINT (-97.1538242 33.2093874)
9545357954,33.2093537,-97.1500453,2,,POINT (-97.1500453 33.2093537)
9546840640,33.2104655,-97.150769,2,,POINT (-97.150769 33.2104655)
9546840643,33.210626,-97.1506691,2,crossing,POINT (-97.1506691 33.210626)
9546840644,33.2106267,-97.150767,2,crossing,POINT (-97.150767 33.2106267)
9547025378,33.211661,-97.1528922,2,crossing,POINT (-97.1528922 33.211661)
9547025491,33.2115612,-97.1528438,2,crossing,POINT (-97.1528438 33.2115612)
9547025495,33.2115612,-97.1530798,2,crossing,POINT (-97.1530798 33.2115612)
9547025496,33.211561,-97.1533804,2,,POINT (-97.1533804 33.211561)
9547064585,33.2121053,-97.1507502,2,,POINT (-97.1507502 33.2121053)
9547159268,33.2123845,-97.1506461,2,,POINT (-97.1506461 33.2123845)
9547159286,33.2126882,-97.1534223,2,,POINT (-97.1534223 33.2126882)
9549816859,33.2067751,-97.1506388,2,crossing,POINT (-97.1506388 33.2067751)
9562931565,33.2064517,-97.1378911,2,crossing,POINT (-97.1378911 33.2064517)
9562931572,33.2063027,-97.133905,2,,POINT (-97.133905 33.2063027)
9562937144,33.2064698,-97.14153,2,crossing,POINT (-97.14153 33.2064698)
9562937171,33.2065582,-97.1414619,2,crossing,POINT (-97.1414619 33.2065582)
9562937203,33.2063637,-97.1365317,2,crossing,POINT (-97.1365317 33.2063637)
9562937204,33.2063656,-97.1366882,2,crossing,POINT (-97.1366882 33.2063656)
9562937206,33.20651,-97.1368473,2,crossing,POINT (-97.1368473 33.20651)
9562937207,33.2066287,-97.1365556,2,crossing,POINT (-97.1365556 33.2066287)
9562937208,33.2066212,-97.1367163,2,crossing,POINT (-97.1367163 33.2066212)
9562937211,33.2065096,-97.1364594,2,crossing,POINT (-97.1364594 33.2065096)
9562937241,33.207386,-97.1350295,2,,POINT (-97.1350295 33.207386)
9562937243,33.2065868,-97.135048,2,crossing,POINT (-97.135048 33.2065868)
9562937253,33.2066061,-97.1342191,2,crossing,POINT (-97.1342191 33.2066061)
9562937255,33.206501,-97.1341223,2,crossing,POINT (-97.1341223 33.206501)
9562937257,33.2065023,-97.1338232,2,crossing,POINT (-97.1338232 33.2065023)
9562937289,33.2065839,-97.1325452,2,crossing,POINT (-97.1325452 33.2065839)
9562937293,33.2064964,-97.1324258,2,crossing,POINT (-97.1324258 33.2064964)
9562937295,33.2064435,-97.1339045,2,crossing,POINT (-97.1339045 33.2064435)
9562937298,33.2064325,-97.1325483,2,crossing,POINT (-97.1325483 33.2064325)
9596987960,33.2063544,-97.1494278,2,,POINT (-97.1494278 33.2063544)
9596987961,33.2062927,-97.1485685,2,,POINT (-97.1485685 33.2062927)
9596987965,33.206741,-97.1490284,2,,POINT (-97.1490284 33.206741)
