node_id,x,y
1s1,11,42
1s2,13,37
1s3,13,17
1s4,31,34
1s5,31,17
1s7,41,50
1s8,41,35
1s9,41,23
1s10,53,50
1s11,53,42
1s12,47,21
1s13,53,13
1s14,59,21
1s15,72,22
1s16,71,13
2s1,16,60
2s2,21,53
2s3,21,30
2s4,42,53
2s5,42,30
2s6,57,69
2s7,54,54
2s8,54,38
2s10,70,69
2s11,69,60
2s9,62,34
2s12,69,27
2s14,77,34
2s15,95,34
2s16,91,27
