u,v,u_co-ord,v_co-ord,length
2f8,2f2,"(80,21)","(69,21)",11.0
2f8,2f14,"(80,21)","(91,21)",11.0
2f9,2f8,"(80,16)","(80,21)",5.0
2f9,2f10,"(80,16)","(80,14)",2.0
2f9,2f3,"(80,16)","(69,16)",11.0
2k1,2k3,"(8,60)","(12,60)",4.0
2k1,2k2,"(8,60)","(8,56)",4.0
2k2,2k1,"(8,56)","(8,60)",4.0
2k2,2k4,"(8,56)","(12,56)",4.0
2k3,2k1,"(12,60)","(8,60)",4.0
2k3,2k4,"(12,60)","(12,56)",4.0
2k3,2s1,"(12,60)","(16,60)",4.0
2k4,2k3,"(12,56)","(12,60)",4.0
2k4,2k2,"(12,56)","(8,56)",4.0
2k5,2s1,"(18,56)","(16,60)",4.47213595499958
2k5,2e1,"(18,56)","(21,56)",3.0
2s1,2k3,"(16,60)","(12,60)",4.0
2s1,2k5,"(16,60)","(18,56)",4.47213595499958
2s10,2s6,"(70,69)","(57,69)",13.0
2s10,2s11,"(70,69)","(69,60)",9.055385138137417
2s11,2b1,"(69,60)","(54,60)",15.0
2s11,2b4,"(69,60)","(69,52)",8.0
2s11,2s10,"(69,60)","(70,69)",9.055385138137417
2s12,2f1,"(69,27)","(69,34)",7.0
2s12,2f7,"(69,27)","(80,27)",11.0
2s12,2f2,"(69,27)","(69,21)",6.0
2s16,2f13,"(91,27)","(91,34)",7.0
2s16,2f14,"(91,27)","(91,21)",6.0
2s16,2f7,"(91,27)","(80,27)",11.0
2s17,2f12,"(91,4)","(80,4)",11.0
2s17,2f15,"(91,4)","(91,14)",10.0
2s2,2e1,"(21,53)","(21,56)",3.0
2s2,2e2,"(21,53)","(21,50)",3.0
2s2,2e8,"(21,53)","(31,53)",10.0
2s3,2e6,"(21,30)","(21,37)",7.0
2s3,2e13,"(21,30)","(31,30)",10.0
2s4,2e15,"(42,53)","(35,53)",7.0
2s4,2e25,"(42,53)","(42,60)",7.0
2s4,2e26,"(42,53)","(42,47)",6.0
2s5,2e28,"(42,30)","(42,37)",7.0
2s5,2e13,"(42,30)","(31,30)",11.0
2s6,2b1,"(57,69)","(54,60)",9.486832980505138
2s6,2s10,"(57,69)","(70,69)",13.0
2s7,2b1,"(54,54)","(54,60)",6.0
2s7,2b2,"(54,54)","(54,52)",2.0
2s9,2f1,"(62,34)","(69,34)",7.0
2s8,2b3,"(54,38)","(54,44)",6.0
2s13,2f4,"(69,4)","(69,11)",7.0
2s13,2f12,"(69,4)","(80,4)",11.0
2s14,2f1,"(77,34)","(69,34)",8.0
2s14,2f13,"(77,34)","(91,34)",14.0
2s15,2f13,"(95,34)","(91,34)",4.0
