Starting node index,Starting node osmid,Ending node index,Ending node osmid,Travel cost from the starting node to the ending node
1218.0,1380955534.0,1318.0,552580894.0,0.036578059628380656
1242.0,101047788.0,1243.0,247702827.0,0.02829022899837088
1243.0,247702827.0,1244.0,965876532.0,0.046381927936726304
1244.0,965876532.0,1344.0,7780959336.0,0.016205958024374845
1285.0,2312124650.0,1385.0,261648717.0,0.03810629873267348
1301.0,247334548.0,1401.0,2135935956.0,0.06666322722003541
1303.0,309891786.0,1304.0,305309537.0,0.014893100489303458
1303.0,309891786.0,1403.0,254094156.0,0.025325500486671825
1304.0,305309537.0,1305.0,305309535.0,0.06923598314887795
1305.0,305309535.0,1306.0,385130309.0,0.043206134399609866
1309.0,32650161.0,1310.0,2899818331.0,0.04177193359687333
1354.0,101010992.0,1454.0,265550122.0,0.04859216293756188
1356.0,2069702611.0,1357.0,2069702613.0,0.01764069801889762
1357.0,2069702613.0,1457.0,1771529508.0,0.04176624308896072
1363.0,246478687.0,1463.0,252901199.0,0.04256960471120594
1398.0,2175887054.0,1498.0,3337846844.0,0.02893436824492925
1401.0,2135935956.0,1501.0,247334510.0,0.04795670981962699
1445.0,246140935.0,1545.0,1365283547.0,0.04016138105823033
1451.0,246138850.0,1452.0,265550120.0,0.05410302129593601
1454.0,265550122.0,1554.0,257668661.0,0.03482132940959228
1475.0,259869643.0,1476.0,256638788.0,0.03910452249006863
1478.0,3139025588.0,1479.0,256638789.0,0.03300697637691509
1479.0,256638789.0,1480.0,256638792.0,0.031141402171717375
1498.0,3337846844.0,1598.0,1402819224.0,0.05571127779766626
1504.0,254094151.0,1505.0,32649913.0,0.038540548723104265
1545.0,1365283547.0,1546.0,7780959372.0,0.029397345537268024
1545.0,1365283547.0,1645.0,255466368.0,0.03250300280794113
1546.0,7780959372.0,1646.0,255329941.0,0.026214524896766813
1554.0,257668661.0,1654.0,246478681.0,0.032584126533976646
1617.0,32650381.0,1717.0,1603316088.0,0.010064615362724023
1645.0,255466368.0,1646.0,255329941.0,0.036853759881736586
1656.0,256170150.0,1657.0,257668665.0,0.04345811249222506
1687.0,1140116642.0,1688.0,246162247.0,0.05192922189487
1690.0,265747976.0,1790.0,265747975.0,0.014939768830359664
1762.0,255256713.0,1862.0,255259856.0,0.045263982157678226
1785.0,1244913461.0,1786.0,246162242.0,0.04952038251862448
1786.0,246162242.0,1886.0,1245400317.0,0.025636853819610037
1789.0,220736368.0,1790.0,265747975.0,0.06520501116122225
1790.0,265747975.0,1890.0,8372016197.0,0.07173762654731584
1840.0,2959672888.0,1841.0,246139719.0,0.024906417187126887
1841.0,246139719.0,1842.0,246139718.0,0.060676218140643466
1842.0,246139718.0,1843.0,2112943269.0,0.02340790925585338
1843.0,2112943269.0,1943.0,2112943277.0,0.046059764827207264
1886.0,1245400317.0,1986.0,122571130.0,0.053989867099820794
1890.0,8372016197.0,1990.0,26618764.0,0.034911633540082115
1899.0,295735024.0,1999.0,346451540.0,0.06035505244611744
1903.0,1107548554.0,1904.0,2248514361.0,0.05193001185841773
1906.0,32650154.0,2006.0,83650212.0,0.04844988788177155
1908.0,83649359.0,2008.0,83650350.0,0.034875511558262635
1910.0,83648548.0,2010.0,83649294.0,0.06568980374657792
1943.0,2112943277.0,2043.0,246144912.0,0.048521630164201475
2005.0,83650446.0,2006.0,83650212.0,0.058605548656951514
2008.0,83650350.0,2108.0,1107543217.0,0.049298962787213456
2040.0,255250999.0,2041.0,2001545075.0,0.008741161465971984
2087.0,1245400284.0,2088.0,26618757.0,0.03587829382881207
2088.0,26618757.0,2089.0,26618754.0,0.051828649575054786
