osmid,grid_index,y,x
261722074,8592,41.9156473,12.517132
1300215136,8622,41.9159542,12.4832297
1300215133,8623,41.915831,12.4835555
617834602,8645,41.9159746,12.4941343
261731867,8646,41.9159258,12.4946063
257492846,8651,41.9159167,12.496998
534439963,8653,41.9158118,12.4981479
255398854,8656,41.9160596,12.4996602
259331958,8663,41.915794,12.5029912
1046891093,8666,41.9159297,12.5043189
386686685,8671,41.9158713,12.50679
395214811,8673,41.9160167,12.507965
261721881,8689,41.9158001,12.5152631
1333360906,8690,41.9159116,12.5157963
248530014,8699,41.916074,12.520365
293813995,8701,41.9164248,12.4730673
296297664,8703,41.9162853,12.4738239
6124731530,8713,41.9162674,12.4788637
745474369,8717,41.9162188,12.4805352
1809491650,8720,41.9163074,12.4822684
259282269,8721,41.9161551,12.482599
1300215130,8722,41.9162203,12.4831157
1198670030,8742,41.9163135,12.4927276
261726937,8746,41.9163851,12.4947687
261731858,8747,41.9163721,12.4951477
2001545113,8748,41.9164411,12.4956815
534440000,8752,41.9162835,12.4975404
534439960,8754,41.9161663,12.4986597
907703589,8768,41.9164185,12.5054368
1364949031,8781,41.9162461,12.5114924
261721675,8793,41.9163531,12.5175869
1883246093,8802,41.9165671,12.4736241
296297981,8803,41.9165976,12.4737845
6124731529,8814,41.9166579,12.4791571
1425153005,8816,41.9167621,12.4800711
1300215131,8818,41.9165369,12.4813567
745474324,8819,41.9166745,12.4814586
257491290,8840,41.9167991,12.4919208
617834598,8844,41.9166342,12.4939257
617834591,8845,41.9167158,12.4941946
2001545115,8848,41.9165966,12.4954376
534439953,8855,41.9165003,12.4991165
255400034,8859,41.9164707,12.5009437
2188993411,8864,41.91673,12.503314
255385755,8869,41.9165919,12.5058472
1333360955,8882,41.9167826,12.5122841
294042584,8883,41.9166974,12.5123631
261721541,8893,41.9165053,12.5173989
293813808,8903,41.9168076,12.4738533
1425153011,8915,41.9168871,12.4797802
1425153017,8917,41.9170444,12.4806231
259286257,8918,41.9168337,12.4810967
1451005804,8944,41.9170787,12.4935279
255400413,8950,41.916979,12.4967827
257492847,8954,41.9169611,12.4985207
255399519,8960,41.9168685,12.5016661
255399520,8961,41.9169375,12.5017562
2188993413,8965,41.9169618,12.5036622
261724920,8968,41.9170446,12.5051411
255385700,8969,41.9169811,12.5058464
2174082840,8971,41.9169542,12.5068789
380422635,8973,41.9168243,12.5077945
1333360655,8982,41.9169198,12.5122666
261721573,8994,41.9168928,12.5179153
293813969,9001,41.9172256,12.4727331
1883246103,9002,41.917386,12.4734482
2001345931,9012,41.9172505,12.4780755
1425153021,9015,41.9173899,12.4798494
1300004438,9018,41.9173404,12.4811351
257492488,9043,41.9171719,12.4933855
261732914,9044,41.9173126,12.4937146
255398787,9049,41.9171932,12.496171
534440022,9057,41.9171761,12.5000975
261725842,9062,41.9174287,12.5024368
2188993416,9066,41.9173678,12.5041997
255385701,9069,41.9172702,12.5057933
2174082841,9070,41.9173168,12.5063904
380422640,9071,41.9174521,12.5067685
259364287,9073,41.9174763,12.5076729
294042594,9084,41.917175,12.5130641
2226635330,9091,41.9172446,12.5164971
2226635339,9092,41.9175037,12.5168919
257492474,9142,41.9175753,12.4927166
261732848,9147,41.9177299,12.4951863
255400414,9152,41.917612,12.4977262
534440044,9156,41.9176565,12.4995156
259330220,9157,41.917878,12.4998403
259330866,9158,41.91786,12.5003998
261726495,9159,41.9176793,12.50083
259359757,9172,41.9175902,12.5074445
259360129,9173,41.9176403,12.5078385
1263562790,9174,41.9176844,12.5082757
261724082,9176,41.9178503,12.5091573
6367386011,9182,41.9175611,12.5118818
294042794,9186,41.9177447,12.5139153
1333360954,9198,41.9176451,12.5200041
1662372508,9218,41.9180491,12.4811986
745446809,9223,41.9182432,12.4835901
259282278,9224,41.9179267,12.4842584
261733719,9240,41.9181129,12.4918103
617834578,9246,41.9180754,12.4945732
255398874,9251,41.9180109,12.4972135
259330583,9257,41.9180747,12.5001258
259329811,9258,41.9179528,12.5005106
261726564,9260,41.9181555,12.5015432
261726198,9264,41.9179369,12.5033459
261726196,9265,41.9180667,12.5038635
261725987,9266,41.9180283,12.5041543
1333380153,9271,41.9179388,12.506809
1333380134,9282,41.9181774,12.5119802
261721500,9297,41.9180982,12.5194186
293814212,9302,41.9182683,12.4732406
